time,delta,in_flight
2102-04-15 00:01:24+00:00,-1,2
2102-04-15 00:11:46+00:00,-1,1
2102-04-15 02:55:48+00:00,-1,0
2102-04-15 04:00:00+00:00,1,1
2102-04-15 04:24:41+00:00,-1,0
2102-04-16 22:15:00+00:00,1,1
2102-04-17 00:33:39+00:00,-1,0
2102-04-17 21:42:00+00:00,1,1
2102-04-17 21:51:00+00:00,1,2
2102-04-17 22:03:35+00:00,-1,1
2102-04-17 22:07:00+00:00,1,2
2102-04-17 22:17:00+00:00,2,4
2102-04-17 22:31:00+00:00,1,5
2102-04-17 22:42:00+00:00,1,6
2102-04-17 22:54:39+00:00,-1,5
2102-04-17 23:00:00+00:00,1,6
2102-04-17 23:06:18+00:00,-1,5
2102-04-17 23:12:02+00:00,-1,4
2102-04-17 23:58:14+00:00,-1,3
2102-04-18 00:29:00+00:00,1,4
2102-04-18 00:32:00+00:00,1,5
2102-04-18 00:35:28+00:00,-1,4
2102-04-18 00:53:02+00:00,-1,3
2102-04-18 00:56:00+00:00,1,4
2102-04-18 01:10:00+00:00,1,5
2102-04-18 01:11:39+00:00,-1,4
2102-04-18 01:18:00+00:00,1,5
2102-04-18 01:36:27+00:00,-1,4
2102-04-18 01:50:27+00:00,-1,3
2102-04-18 02:29:25+00:00,-1,2
2102-04-18 02:31:11+00:00,-1,1
2102-04-18 02:39:37+00:00,-1,0
2102-04-18 04:09:00+00:00,1,1
2102-04-18 05:26:17+00:00,-1,0
2102-04-18 22:34:00+00:00,1,1
2102-04-18 22:55:35+00:00,-1,0
2102-04-20 21:00:00+00:00,2,2
2102-04-20 21:30:47+00:00,-1,1
2102-04-20 21:33:00+00:00,2,3
2102-04-20 21:43:56+00:00,-1,2
2102-04-20 22:14:00+00:00,2,4
2102-04-20 22:20:36+00:00,-1,3
2102-04-20 22:33:00+00:00,2,5
2102-04-20 22:34:48+00:00,-1,4
2102-04-20 22:47:00+00:00,2,6
2102-04-20 22:50:00+00:00,2,8
2102-04-20 23:42:00+00:00,2,10
2102-04-20 23:45:06+00:00,-1,9
2102-04-20 23:52:42+00:00,-1,8
2102-04-21 00:01:00+00:00,2,10
2102-04-21 00:23:00+00:00,2,12
2102-04-21 00:30:00+00:00,3,15
2102-04-21 00:34:22+00:00,-1,14
2102-04-21 00:42:28+00:00,-1,13
2102-04-21 00:46:23+00:00,-1,12
2102-04-21 00:57:42+00:00,-1,11
2102-04-21 00:58:53+00:00,-1,10
2102-04-21 01:31:34+00:00,-1,9
2102-04-21 01:40:28+00:00,-1,8
2102-04-21 02:20:03+00:00,-1,7
2102-04-21 02:51:02+00:00,-1,6
2102-04-21 03:24:28+00:00,-1,5
2102-04-21 03:29:54+00:00,-1,4
2102-04-21 03:31:00+00:00,2,6
2102-04-21 03:35:13+00:00,-1,5
2102-04-21 03:52:11+00:00,-1,4
2102-04-21 03:57:29+00:00,-1,3
2102-04-21 04:11:06+00:00,-1,2
2102-04-21 04:34:00+00:00,2,4
2102-04-21 05:23:09+00:00,-1,3
2102-04-21 06:11:12+00:00,-1,2
2102-04-21 07:24:55+00:00,-1,1
2102-04-21 08:24:52+00:00,-1,0
2102-04-21 22:15:00+00:00,2,2
2102-04-21 23:57:49+00:00,-1,1
2102-04-22 00:29:23+00:00,-1,0
2102-04-22 00:54:00+00:00,1,1
2102-04-22 05:46:31+00:00,-1,0
2102-04-24 20:48:00+00:00,1,1
2102-04-24 21:31:02+00:00,-1,0
2102-04-24 21:42:00+00:00,1,1
2102-04-24 21:55:00+00:00,1,2
2102-04-24 21:58:00+00:00,2,4
2102-04-24 22:07:00+00:00,1,5
2102-04-24 22:19:00+00:00,1,6
2102-04-24 22:23:00+00:00,1,7
2102-04-24 22:25:47+00:00,-1,6
2102-04-24 22:27:00+00:00,1,7
2102-04-24 22:38:50+00:00,-1,6
2102-04-24 22:42:00+00:00,1,7
2102-04-24 23:06:00+00:00,2,9
2102-04-24 23:12:00+00:00,1,10
2102-04-24 23:31:18+00:00,-1,9
2102-04-24 23:36:16+00:00,-1,8
2102-04-24 23:55:24+00:00,-1,7
2102-04-25 00:00:08+00:00,-1,6
2102-04-25 00:18:00+00:00,1,7
2102-04-25 00:25:50+00:00,-1,6
2102-04-25 00:29:16+00:00,-1,5
2102-04-25 00:45:22+00:00,-1,4
2102-04-25 00:57:00+00:00,2,6
2102-04-25 00:58:15+00:00,-1,5
2102-04-25 01:11:00+00:00,1,6
2102-04-25 01:30:12+00:00,-1,5
2102-04-25 01:45:30+00:00,-1,4
2102-04-25 02:18:21+00:00,-1,3
2102-04-25 03:19:29+00:00,-1,2
2102-04-25 03:47:00+00:00,1,3
2102-04-25 04:05:11+00:00,-1,2
2102-04-25 05:41:59+00:00,-1,1
2102-04-25 08:55:36+00:00,-1,0
2102-04-27 21:09:00+00:00,2,2
2102-04-27 21:37:00+00:00,1,3
2102-04-27 21:39:00+00:00,1,4
2102-04-27 21:42:00+00:00,4,8
2102-04-27 22:07:00+00:00,1,9
2102-04-27 22:24:57+00:00,-1,8
2102-04-27 22:29:36+00:00,-1,7
2102-04-27 22:31:23+00:00,-1,6
2102-04-27 22:37:32+00:00,-1,5
2102-04-27 22:47:39+00:00,-1,4
2102-04-27 22:48:22+00:00,-1,3
2102-04-27 23:21:20+00:00,-1,2
2102-04-28 00:08:56+00:00,-1,1
2102-04-28 00:11:00+00:00,2,3
2102-04-28 01:12:20+00:00,-1,2
2102-04-28 01:21:20+00:00,-1,1
2102-04-28 02:44:21+00:00,-1,0
2102-04-28 02:47:00+00:00,2,2
2102-04-28 04:20:44+00:00,-1,1
2102-04-28 04:48:22+00:00,-1,0
2102-04-28 20:43:00+00:00,2,2
2102-04-28 21:06:10+00:00,-1,1
2102-04-28 21:09:00+00:00,2,3
2102-04-28 21:49:30+00:00,-1,2
2102-04-28 22:50:00+00:00,2,4
2102-04-28 23:49:33+00:00,-1,3
2102-04-28 23:55:00+00:00,2,5
2102-04-29 00:29:00+00:00,2,7
2102-04-29 00:58:42+00:00,-1,6
2102-04-29 01:10:00+00:00,2,8
2102-04-29 01:10:28+00:00,-1,7
2102-04-29 01:13:22+00:00,-1,6
2102-04-29 01:53:46+00:00,-1,5
2102-04-29 02:13:28+00:00,-1,4
2102-04-29 02:59:36+00:00,-1,3
2102-04-29 03:57:00+00:00,1,4
2102-04-29 04:15:47+00:00,-1,3
2102-04-29 04:22:29+00:00,-1,2
2102-04-29 04:37:28+00:00,-1,1
2102-04-29 05:10:47+00:00,-1,0
2102-05-01 20:23:00+00:00,1,1
2102-05-01 22:07:00+00:00,1,2
2102-05-01 22:13:51+00:00,-1,1
2102-05-01 22:26:00+00:00,1,2
2102-05-01 22:28:35+00:00,-1,1
2102-05-01 22:40:00+00:00,2,3
2102-05-01 22:47:00+00:00,2,5
2102-05-01 23:00:00+00:00,2,7
2102-05-01 23:05:00+00:00,1,8
2102-05-01 23:19:06+00:00,-1,7
2102-05-01 23:34:00+00:00,1,8
2102-05-01 23:38:24+00:00,-1,7
2102-05-01 23:41:00+00:00,1,8
2102-05-01 23:42:47+00:00,-1,7
2102-05-01 23:42:52+00:00,-1,6
2102-05-01 23:49:43+00:00,-1,5
2102-05-02 00:29:06+00:00,-1,4
2102-05-02 00:42:00+00:00,1,5
2102-05-02 00:55:00+00:00,1,6
2102-05-02 00:56:00+00:00,1,7
2102-05-02 00:57:00+00:00,2,9
2102-05-02 00:59:30+00:00,-1,8
2102-05-02 01:35:22+00:00,-1,7
2102-05-02 01:48:59+00:00,-1,6
2102-05-02 01:52:04+00:00,-1,5
2102-05-02 02:21:59+00:00,-1,4
2102-05-02 02:27:19+00:00,-1,3
2102-05-02 03:17:26+00:00,-1,2
2102-05-02 03:50:32+00:00,-1,1
2102-05-02 03:56:00+00:00,1,2
2102-05-02 04:06:17+00:00,-1,1
2102-05-02 06:40:37+00:00,-1,0
2102-05-02 21:47:00+00:00,2,2
2102-05-02 22:45:34+00:00,-1,1
2102-05-02 23:58:43+00:00,-1,0
2102-05-04 22:24:00+00:00,2,2
2102-05-04 23:10:00+00:00,2,4
2102-05-05 00:54:08+00:00,-1,3
2102-05-05 01:05:00+00:00,1,4
2102-05-05 01:06:00+00:00,2,6
2102-05-05 01:19:35+00:00,-1,5
2102-05-05 01:34:12+00:00,-1,4
2102-05-05 01:41:00+00:00,-1,3
2102-05-05 02:10:45+00:00,-1,2
2102-05-05 03:46:00+00:00,2,4
2102-05-05 04:34:44+00:00,-1,3
2102-05-05 04:49:17+00:00,-1,2
2102-05-05 05:49:32+00:00,-1,1
2102-05-05 05:52:31+00:00,-1,0
2102-05-05 21:00:00+00:00,2,2
2102-05-05 21:16:00+00:00,2,4
2102-05-05 21:24:00+00:00,1,5
2102-05-05 22:10:33+00:00,-1,4
2102-05-05 22:11:50+00:00,-1,3
2102-05-05 22:13:00+00:00,1,4
2102-05-05 22:14:34+00:00,-1,3
2102-05-05 23:10:40+00:00,-1,2
2102-05-05 23:34:00+00:00,1,3
2102-05-05 23:47:00+00:00,2,5
2102-05-05 23:53:00+00:00,2,7
2102-05-06 00:11:00+00:00,2,9
2102-05-06 00:17:02+00:00,-1,8
2102-05-06 00:23:57+00:00,-1,7
2102-05-06 00:46:00+00:00,2,9
2102-05-06 00:57:28+00:00,-1,8
2102-05-06 01:21:44+00:00,-1,7
2102-05-06 01:32:35+00:00,-1,6
2102-05-06 01:46:27+00:00,-1,5
2102-05-06 03:03:00+00:00,2,7
2102-05-06 03:09:14+00:00,-1,6
2102-05-06 03:09:22+00:00,-1,5
2102-05-06 03:10:45+00:00,-1,4
2102-05-06 03:35:29+00:00,-1,3
2102-05-06 03:50:36+00:00,-1,2
2102-05-06 04:00:34+00:00,-1,1
2102-05-06 04:35:07+00:00,-1,0
2102-05-08 21:04:00+00:00,1,1
2102-05-08 21:49:00+00:00,2,3
2102-05-08 22:31:00+00:00,1,4
2102-05-08 22:46:00+00:00,2,6
2102-05-08 22:56:00+00:00,2,8
2102-05-08 22:58:00+00:00,2,10
2102-05-08 23:04:40+00:00,-1,9
2102-05-08 23:24:51+00:00,-1,8
2102-05-08 23:29:54+00:00,-1,7
2102-05-08 23:55:07+00:00,-1,6
2102-05-08 23:56:00+00:00,1,7
2102-05-08 23:56:59+00:00,-1,6
2102-05-09 00:09:00+00:00,1,7
2102-05-09 00:26:59+00:00,-1,6
2102-05-09 00:40:07+00:00,-1,5
2102-05-09 00:42:11+00:00,-1,4
2102-05-09 00:52:00+00:00,1,5
2102-05-09 00:56:00+00:00,1,6
2102-05-09 00:59:32+00:00,-1,5
2102-05-09 01:00:00+00:00,1,6
2102-05-09 01:13:00+00:00,1,7
2102-05-09 01:28:00+00:00,1,8
2102-05-09 02:03:20+00:00,-1,7
2102-05-09 02:04:10+00:00,-1,6
2102-05-09 02:46:14+00:00,-1,5
2102-05-09 02:49:40+00:00,-1,4
2102-05-09 02:55:39+00:00,-1,3
2102-05-09 03:03:11+00:00,-1,2
2102-05-09 03:10:40+00:00,-1,1
2102-05-09 04:22:00+00:00,2,3
2102-05-09 04:36:01+00:00,-1,2
2102-05-09 07:25:39+00:00,-1,1
2102-05-09 07:49:56+00:00,-1,0
2102-05-11 21:11:00+00:00,1,1
2102-05-11 21:21:56+00:00,-1,0
2102-05-11 21:22:00+00:00,1,1
2102-05-11 21:43:00+00:00,2,3
